English,Arabic,Definition
ISO/IEC 27001,الايزو 27001,"Information Security Management--Specification with Guidance for Use; the replacement for BS7799-2. It is intended to provide the foundation for third-party audit and is harmonized with other management standards, such as ISO/IEC 9001 and 14001."
IT application,تطبيق تقنية معلومات,"Electronic functionality that constitutes parts of business processes undertaken by, or with the assistance of, IT"
IT architecture,هيكلية تقنية معلوماتية,"Description of the fundamental underlying design of the IT components of the business, the relationships among them, and the manner in which they support the enterprise's objectives"
IT goal,هدف تقنية معلوماتية,"A statement describing a desired outcome of enterprise IT in support of enterprise goals. An outcome can be an artifact, a significant change of a state or a significant capability improvement."
IT governance,حوكمة تقنية المعلومات المؤسسية,"The responsibility of executives and the board of directors; consists of the leadership, organizational structures and processes that ensure that the enterprise's IT sustains and extends the enterprise's strategies and objectives"
IT governance framework,إطار حوكمة تقنية المعلومات,"A model that integrates a set of guidelines, policies and methods that represent the organizational approach to IT governance"
IT Governance Institute® (ITGI®),معهد حوكمة تقنية المعلومات,"Founded in 1998 by the Information Systems Audit and Control Association (now known as ISACA). ITGI strives to assist enterprise leadership in ensuring long-term, sustainable enterprise success and to increase stakeholder value by expanding awareness."
IT incident,حادث/ واقعة تقنية,"Any event that is not part of the ordinary operation of a service that causes, or may cause, an interruption to, or a reduction in, the quality of that service"
IT infrastructure,بنية تحتية معلوماتية,The set of hardware and software and facilities that integrates an enterprise's IT assets
IT investment dashboard,لوحة التحكم باستثمارات تقنية المعلومات,"A tool for setting expectations for an enterprise at each level and continuous monitoring of the performance against set targets for expenditures on, and returns from, IT-enabled investment projects in terms of business values"
IT risk,مخاطر تقنية المعلومات,"The business risk associated with the use, ownership, operation, involvement, influence and adoption of IT within an enterprise"
IT risk issue,قضية تقنية ذات مخاطر,"1. An instance of IT risk 2. A combination of control, value and threat conditions that impose a noteworthy level of IT risk"
IT risk profile,محفظة مخاطر تقنية المعلومات,A description of the overall (identified) IT risk to which the enterprise is exposed
IT risk register,سجل مخاطر تقنية المعلومات,"A repository of the key attributes of potential and known IT risk issues Attributes may include name, description, owner, expected/actual frequency, potential/actual magnitude, potential/actual business impact, disposition."
IT risk scenario,سيناريوهات مخاطر تقنية المعلومات,The description of an IT-related event that can lead to a business impact
IT service,خدمة تقنية,"The day-to-day provision to customers of IT infrastructure and applications and support for their use—e.g., service desk, equipment supply and moves, and security authorizations"
IT steering committee,اللجنة التوجيهية لتقنية المعلومات,"An executive-management-level committee that assists in the delivery of the IT strategy, oversees day-to-day management of IT service delivery and IT projects, and focuses on implementation aspects"
IT strategic plan,الخطة الإستراتيجية لتقنية المعلومات,"A long-term plan (i.e., three- to five-year horizon) in which business and IT management cooperatively describe how IT resources will contribute to the enterprise's strategic objectives (goals)"
IT strategy committee,اللجنة التوجيهية لاستراتيجية تقنية المعلومات,A committee at the level of the board of directors to ensure that the board is involved in major IT matters and decisions
IT tactical plan,الخطة التكتيكية لتقنية المعلومات,"A medium-term plan (i.e., six- to 18-month horizon) that translates the IT strategic plan direction into required initiatives, resource requirements and ways in which resources and benefits will be monitored and managed"
IT user,مستخدم تقنية المعلومات,A person who uses IT to support or achieve a business objective
ITIL (IT Infrastructure Library),مكتبة البنية التحتية لتقنية المعلومات,The UK Office of Government Commerce (OGC) IT Infrastructure Library. A set of guides on the management and provision of operational IT services
IT-related incident,حادثة تقنية ذات أثر,"An IT-related event that causes an operational, developmental and/or strategic business impact"
Job control language (JCL),لغة السيطرة الوظيفية,Used to control run routines in connection with performing tasks on a computer
Journal entry,قيد محاسبي,"A debit or credit to a general ledger account, in Oracle   See also Manual Journal Entry."
Judgment sampling,عينة موجهة (غير عشوائية),Any sample that is selected subjectively or in such a manner that the sample selection process is not random or the sampling results are not evaluated mathematically
Kernel mode,وضعية النواة / الوضعية الجوهرية,"Used for execution of privileged instructions for the internal operation of the system. In kernel mode, there are no protections from errors or malicious activity and all parts of the system and memory are accessible."
Key goal indicator (KGI),مؤشر تحقق الهدف,"A measure that tells management, after the fact, whether an IT process has achieved its business requirements; usually expressed in terms of information criteria"
Key length,طول المفتاح,The size of the encryption key measured in bits
Key management practice,ممارسات الأعمال الرئيسة,Management practices that are required to successfully execute business processes
Key performance indicator (KPI),مؤشر أداء رئيس,A measure that determines how well the process is performing in enabling the goal to be reached
Key risk indicator (KRI),مؤشر مخاطر رئيس,A subset of risk indicators that are highly relevant and possess a high probability of predicting or indicating important risk
Keylogger,,Software used to record all keystrokes on a computer
Knowledge portal,بوابة الكترونية معرفية,Refers to the repository of a core of information and knowledge for the extended enterprise
Lag indicator,المؤشرات المتأخرة أو التالية أو النتائجية,Metrics for achievement of goals-An indicator relating to the outcome or result of an enabler
Latency,زمن الاستجابة,The time it takes a system and network delay to respond
Layer 2 switches,محولات المستوى الثاني,Data link level devices that can divide and interconnect network segments and help to reduce collision domains in Ethernet-based networks
Layer 3 and 4 switches,محولات المستوى الثالث والرابع,"Switches with operating capabilities at layer 3 and layer 4 of the open systems interconnect (OSI) model. These switches look at the incoming packet's networking protocol, e.g., IP, and then compare the destination IP address to the list of addresses in their tables, to actively calculate the best way to send a packet to its destination."
Layer 4-7 switches,محولات المستوى الرابع - السابع,Used for load balancing among groups of servers
Lead indicator,مؤشرات مدخلاتية,Metrics for application of good practice-An indicator relating to the functioning of an enabler
Leadership,قيادة,The ability and process to translate vision into desired behaviors that are followed at all levels of the extended enterprise
Leased line,خط شبكي مؤجر,"A communication line permanently assigned to connect two points, as opposed to a dial-up line that is only available and open when a connection is made by dialing the target machine or network Also known as a dedicated line"
Legacy system,نظام موروث/متوارث,Outdated computer systems
Level of assurance,مستوى التحقق,Refers to the degree to which the subject matter has been examined or reviewed
Librarian,امين المكتبة,The individual responsible for the safeguard and maintenance of all program and data files
Licensing agreement,اتفاقية رخصة الاستخدام,"A contract that establishes the terms and conditions under which a piece of software is being licensed (i.e., made legally available for use) from the software developer (owner) to the user"
Life cycle,دورة الحياة,"A series of stages that characterize the course of existence of an organizational investment (e.g., product, project, program)"
Likelihood,احتمالية,The probability of something happening
Limit check,فحص قيم المدخلات (من - إلى),Tests specified amount fields against stipulated high or low limits of acceptability
Link editor (linkage editor),مجمع البرامج,"A utility program that combines several separately compiled modules into one, resolving internal references between them"
Literals,حَرفي,"Any notation for representing a value within programming language source code (e.g., a string literal); a chunk of input data that is represented ""as is"" in compressed data"
Local area network (LAN),شبكة محلية,Communication network that serves several users within a specified geographic area
Log,سجل,"To record details of information or events in an organized record-keeping system, usually sequenced in the order in which they occurred"
Logical access,الوصول الافتراضي,"Ability to interact with computer resources granted using identification, authentication and authorization."
Logical access controls,ضوابط الدخول المنطقية,"The policies, procedures, organizational structure and electronic access controls designed to restrict access to computer software and data files"
Logoff,إنهاء الاستخدام,The act of disconnecting from the computer
Logon,تسجيل الدخول,"The act of connecting to the computer, which typically requires entry of a user ID and password into a computer terminal"
Logs/log file,سجل ضبط,"Files created specifically to record various actions occurring on the system to be monitored, such as failed login attempts, full disk drives and e-mail delivery failures"
Loss event,حوادث مسببة لخسائر,Any event during which a threat event results in loss
MAC header,ترويسة العنوان الشبكي,Represents the hardware address of an network interface controller (NIC) inside a data packet
Machine language,لغة الآلة,The logical language that a computer understands
Magnetic card reader,قارئ البطاقات المغنطيسية,Reads cards with a magnetic surface on which data can be stored and retrieved
Magnetic ink character recognition (MICR),قارئ الحروف بالحبر المغنطيسي,Used to electronically input and read and interpret information directly from a source document
Magnitude,قيمة,A measure of the potential severity of loss or the potential gain from realized events/scenarios
Mail relay server,خادم الترحيل البريدي,An electronic mail (e-mail) server that relays messages so that neither the sender nor the recipient is a local user
Mainframe,"حاسوب كبير، مركزي","A large high-speed computer, especially one supporting numerous workstations or peripherals"
Malware,برمجيات خبيثة,"Short for malicious software   Designed to infiltrate, damage or obtain information from a computer system without the owner's consent"
Management,إدارة,"Plans, builds, runs and monitors activities in alignment with the direction set by the governance body to achieve the enterprise objectives."
Management information system (MIS),نظم المعلومات الإدارية,An organized assembly of resources and procedures required to collect and process and distribute data for use in decision making
Mandatory access control (MAC),ضوابط دخول اجبارية,A means of restricting access to data based on varying degrees of security requirements for information contained in the objects and the corresponding security clearance of users or programs acting on their behalf
Man-in-the-middle attack,هجوم قاطع الطريق,"An attack strategy in which the attacker intercepts the communication stream between two parts of the victim system and then replaces the traffic between the two components with the intruder's own, eventually assuming control of the communication"
Manual journal entry,إدخال قيد يومية (محاسبة),A journal entry entered at a computer terminal
Mapping,مقابلة,"Diagramming data that are to be exchanged electronically, including how they are to be used and what business management systems need them. See also Application Tracing and Mapping."
Masking,تعمية,"A computerized technique of blocking out the display of sensitive information, such as passwords, on a computer terminal or report"
Masqueraders,المتنكرون,Attackers that penetrate systems by using the identity of legitimate users and their logon credentials
Master file,الملف الرئيس,A file of semi permanent information that is used frequently for processing data or for more than one purpose
Material misstatement,أخطاء جوهرية,An accidental or intentional untrue statement that affects the results of an audit to a measurable extent
Material weakness,ضعف جوهري,"A deficiency or a combination of deficiencies in internal control, such that there is a reasonable possibility that a material misstatement will not be prevented or detected on a timely basis. Weakness in control is considered 'material' if the absence of the control results in failure to provide reasonable assurance that the control objective will be met. A weakness classified as material implies that: - Controls are not in place and/or controls are not in use and/or controls are inadequate - Escalation is warranted There is an inverse relationship between materiality and the level of audit risk acceptable to the IS audit or assurance professional, i.e., the higher the materiality level, the lower the acceptability of the audit risk, and vice versa."
Materiality,جوهري,An auditing concept regarding the importance of an item of information with regard to its impact or effect on the functioning of the entity being audited An expression of the relative significance or importance of a particular matter in the context of the enterprise as a whole
Maturity,مستوى النضوج,"In business, indicates the degree of reliability or dependency that the business can place on a process achieving the desired goals or objectives"
Maturity model,نموذج النضوج (الاكتمال),
Maximum tolerable outages (MTO),الحد الاقصى للتحمل,Maximum time that an enterprise can support processing in alternate mode
Measure,قياس / قراءة,A standard used to evaluate and communicate performance against expected results
Media access control (MAC),ماك (الرقم الشبكي المميز),"Applied to the factory and cannot be modified, MAC is a unique, 48-bit, hard-coded address of a physical layer device, such as an Ethernet local area network (LAN) or a wireless network card"
Media access control (MAC) address,عنوان التحكم بدخول الوسط,A unique identifier assigned to network interfaces for communications on the physical network segment
Media oxidation,أكسدة وسائط حفظ البياتات الرقمية,The deterioration of the media on which data are digitally stored due to exposure to oxygen and moisture
Memory dump,تفريغ محتويات الذاكرة,The act of copying raw data from one place to another with little or no formatting for readability
Message authentication code,رمز التحقق من الرسالة,An American National Standards Institute (ANSI) standard checksum that is computed using Data Encryption Standard (DES)
Message digest,مُميَز الرسالة,A smaller extrapolated version of the original message created using a message digest algorithm
Message digest algorithm,خوارزمية مميز الرسالة,"Message digest algorithms are SHA1, MD2, MD4 and MD5. These algorithms are one-way functions unlike private and public key encryption algorithms."
Message switching,تبادل الرسائل الرقمية,A telecommunications methodology that controls traffic in which a complete message is sent to a concentration point and stored until the communications path is established
Metric,معايير قياس كمية,A quantifiable entity that allows the measurement of the achievement of a process goal
Metropolitan area network (MAN),شبكة مناطقية/منطقة حضرية,A data network intended to serve an area the size of a large city
Microwave transmission,البث الميكروي,A high-capacity line-of-sight transmission of data signals through the atmosphere which often requires relay stations
Middleware,برنامج وسيط,Another term for an application programmer interface (API) It refers to the interfaces that allow programmers to access lower- or higher-level services by providing an intermediary layer that includes function calls to the services.
Milestone,"مَعلم، نقطة مرحلية",A terminal element that marks the completion of a work package or phase
Miniature fragment attack,هجوم جزئي أصغر,"Using this method, an attacker fragments the IP packet into smaller ones and pushes it through the firewall, in the hope that only the first of the sequence of fragmented packets would be examined and the others would pass without review."
Mirrored site,موقع (محفوظ له) مقابل,An alternate site that contains the same information as the original
Mission-critical application,تطبيقات حرجة,An application that is vital to the operation of the enterprise. The term is very popular for describing the applications required to run the day-to-day business.
Misuse detection,كشف سوء استخدام,"Detection on the basis of whether the system activity matches that defined as ""bad"""
Mobile computing,حوسبة متنقلة,Extends the concept of wireless computing to devices that enable new kinds of applications and expand an enterprise network to reach places in circumstances that could never have been done by other means
Mobile device,جهاز منقول,"A small, handheld computing devices, typically having a display screen with touch input and/or a miniature keyboard and weighing less than two pounds"
Mobile site,موقع متنقل,The use of a mobile/temporary facility to serve as a business resumption location The facility can usually be delivered to any site and can house information technology and staff.
Model,نموذج,"A way to describe a given set of components and how those components relate to each other in order to describe the main workings of an object, system, or concept"
MODEM (modulator/demodulator),مودم,"Connects a terminal or computer to a communications network via a telephone line Modems turn digital pulses from the computer into frequencies within the audio range of the telephone system. When acting in the receiver capacity, a modem decodes incoming frequencies."
Modulation,تحويل البث التناظري إلى رقمي,The process of converting a digital computer signal into an analog telecommunications signal
Monetary unit sampling,عينات الوحدات المالية,A sampling technique that estimates the amount of overstatement in an account balance
Monitoring policy,سياسات المراقبة,"Rules outlining or delineating the way in which information about the use of computers, networks, applications and information is captured and interpreted"
Multifactor authentication,استيثاق متعدد العناصر,"A combination of more than one authentication method, such as token and password (or personal identification number [PIN] or token and biometric device)."
Multiplexor,معدد (أجهزة شبكية),A device used for combining several lower-speed channels into a higher-speed channel
Mutual takeover,انطلاق اسعافي مزدوج,"A fail-over process, which is basically a two-way idle standby: two servers are configured so that both can take over the other node's resource group. Both must have enough central processing unit (CPU) power to run both applications with sufficient speed, or expected performance losses must be taken into account until the failed node reintegrates."
National Institute for Standards and Technology (NIST),المعهد الوطني للمواصفات المعيارية والتكنولوجيا,"Develops tests, test methods, reference data, proof-of-concept implementations, and technical analyses to advance the development and productive use of information technology"
Net present value (NPV),صافي القيمة الحالية,Calculated by using an after-tax discount rate of an investment and a series of expected incremental cash outflows (the initial investment and operational costs) and cash inflows (cost savings or revenues) that occur at regular periods during the life cycle of the investment
Net return,صافي العائد,The revenue that a project or business makes after tax and other deductions; often also classified as net profit
Netcat,نت كات (برنامج شبكي),"A simple UNIX utility, which reads and writes data across network connections using Transmission Control Protocol (TCP) or User Datagram Protocol (UDP). It is designed to be a reliable back-end tool that can be used directly or is easily driven by other programs and scripts. At the same time, it is a feature-rich network debugging and exploration tool, because it can create almost any kind of connection needed and has several interesting built-in capabilities. Netcat is now part of the Red Hat Power Tools collection and comes standard on SuSE Linux, Debian Linux, NetBSD and OpenBSD distributions."
Net-centric technologies,تقنيات شبكية مركزية,The contents and security of information or objects (software and data) on the network are now of prime importance compared with traditional computer processing that emphasizes the location of hardware and its related software and data.
Netware,نظام تشغيل شبكي,A popular local area network (LAN) operating system (OS) developed by the Novell Corp.
Network,شبكة,A system of interconnected computers and the communication equipment used to connect them
Network address translation (NAT),ترجمة العنوان الشبكي,A methodology of modifying network address information in IP datagram packet headers while they are in transit across a traffic routing device for the purpose of remapping one IP address space into another
Network administrator,مدير الشبكة,"Responsible for planning, implementing and maintaining the telecommunications infrastructure; also may be responsible for voice networks"
Network attached storage (NAS),ذاكرة شبكية مشتركة,Utilizes dedicated storage devices that centralize storage of data
Network basic input/output system (NetBIOS),نظام الدخول والخروج الأساسي,A program that allows applications on different computers to communicate within a local area network (LAN).
Network hop,وثبة شبكية (نوع من انواع الاختراق),"An attack strategy in which the attacker successively hacks into a series of connected systems, obscuring his/her identify from the victim of the attack"
Network interface card (NIC),بطاقة شبكة,"A communication card that when inserted into a computer, allows it to communicate with other computers on a network"
Network news transfer protocol (NNTP),برتوكول النقل الاخباري,"Used for the distribution, inquiry, retrieval, and posting of Netnews articles using a reliable stream-based mechanism. For news-reading clients, NNTP enables retrieval of news articles that are stored in a central database, giving subscribers the ability to select only those articles they wish to read. (RFC 3977)"
Network segmentation,تجزئة الشبكة,"A common technique to implement network security is to segment an organization's network into separate zones that can be separately controlled, monitored and protected."
Network traffic analysis,تحليل الحركة الشبكية,Identifies patterns in network communications
Node,عقدة/ طرف/ قطب,Point at which terminals are given access to a network
Noise,ازعاج,"Disturbances in data transmissions, such as static, that cause messages to be misinterpreted by the receiver"
Nondisclosure agreement (NDA),اتفاقية عدم الافصاح,"A legal contract between at least two parties that outlines confidential materials that the parties wish to share with one another for certain purposes, but wish to restrict from generalized use; a contract through which the parties agree not to disclose information covered by the agreement"
Nonintrusive monitoring,رصد التطفل المسالم,The use of transported probes or traces to assemble information and track traffic and identify vulnerabilities
Nonrepudiable transaction,معاملة لا يمكن انكارها,Transaction that cannot be denied after the fact
Nonrepudiation,عدم الانكار,The assurance that a party cannot later deny originating data; provision of proof of the integrity and origin of the data and that can be verified by a third party
Non-statistical sampling,عينات غير إحصائية,"Method of selecting a portion of a population, by means of own judgement and experience, for the purpose of quickly confirming a proposition. This method does not allow drawing mathematical conclusions on the entire population."
Normalization,تطبيق,The elimination of redundant data
Numeric check,فحص الرقمية,An edit check designed to ensure that the data element in a particular field is numeric.
Obfuscation,مشوش / إرباكي,The deliberate act of creating source or machine code that is difficult for humans to understand
Object code,البرنامج الهدفي (بلغة الالة),Machine-readable instructions produced from a compiler or assembler program that has accepted and translated the source code
Object management group (OMG),مجموعة الإدارة الموضوعية (OGM),A consortium with more than 700 affiliates from the software industry whose purpose is to provide a common framework for developing applications using object-oriented programming techniques
Object orientation,المتمحور موضوعيا,"An approach to system development in which the basic unit of attention is an object, which represents an encapsulation of both data (an object's attributes) and functionality (an object's methods)"
Objective,موضوعي,Statement of a desired outcome
Objectivity,موضوعية,"The ability to exercise judgment, express opinions and present recommendations with impartiality"
Object-oriented system development,تطوير النظم المتمحور موضوعيا,"A system development methodology that is organized around ""objects"" rather than ""actions,"" and ""data"" rather than ""logic"""
Offline files,ملفات غير حية (في حالة الحفظ),Computer file storage media that are not physically connected to the computer; typical examples are tapes or tape cartridges used for backup purposes.
Offsite storage,ذاكرة غير حية,"A facility located away from the building housing the primary information processing facility (IPF), used for storage of computer media such as offline backup data and storage files"
Online data processing,المعالجة الانية للبيانات,Achieved by entering information into the computer via a video display terminal
Open Source Security Testing Methodology,منهجية الفحص الأمنية مفتوحة المصدر,An open and freely available methodology and manual for security testing
Open system,نظام مفتوح,"System for which detailed specifications of the composition of its component are published in a nonproprietary environment, thereby enabling competing enterprises to use these standard components to build competitive systems"
Open Systems Interconnect (OSI) model,نموذج ترابط الأنظمة المفتوحة,A model for the design of a network. The open systems interconnect (OSI) model defines groups of functionality required to network computers into layers. Each layer implements a standard protocol to implement its functionality. There are seven layers in the OSI model.
Open Web Application Security Project (OWASP),مشروع التطبيقات الأمنية لشبكة الانترنت,"An open community dedicated to enabling organizations to conceive, develop, acquire, operate, and maintain applications that can be trusted"
Operating system (OS),نظام تشغيل,A master control program that runs the computer and acts as a scheduler and traffic controller
Operating system audit trail,سجلات تعقبية لنظام التشغيل,Record of system events generated by a specialized operating system mechanism
Operational audit,مراجعة تشغيلية,"An audit designed to evaluate the various internal controls, economy and efficiency of a function or department"
Operational control,ضوابط تشغيلية,Deals with the everyday operation of a company or enterprise to ensure that all objectives are achieved
Operational level agreement (OLA),اتفاقية مستوى التشغيل,An internal agreement covering the delivery of services that support the IT organization in its delivery of services
Operator console,شاشة المشغل,A special terminal used by computer operations personnel to control computer and systems operations functions
Optical character recognition (OCR),قارئ الحروف الضوئي,Used to electronically scan and input written information from a source document
Optical scanner,قارئ ضوئي,An input device that reads characters and images that are printed or painted on a paper form into the computer
Organization,منظمة/منشأة/مؤسسة,The manner in which an enterprise is structured; can also mean the entity
Organization for Economic Cooperation and Development (OECD),منظمة التنمية والتعاون الاقتصادي,"An international organization helping governments tackle the economic, social and governance challenges of a global economy"
Organizational structure,الهيكل التنظيمي,"An enabler of governance and of management. Includes the enterprise and its structures, hierarchies and dependencies."
Outcome,نتيجة,Result
Outcome measure,قياس النتائج,Represents the consequences of actions previously taken; often referred to as a lag indicator
Output analyzer,محلل المخرجات,Checks the accuracy of the results produced by a test run
Outsourcing,الاستعانة بمصادر خارجية,A formal agreement with a third party to perform IS or other business functions for an enterprise
Owner,مالك,"Individual or group that holds or possesses the rights of and the responsibilities for an enterprise, entity or asset."
Packet,حزمة (بيانات),Data unit that is routed from source to destination in a packet-switched network
Packet filtering,مراقبة الحزم المتدفقة,"Controlling access to a network by analyzing the attributes of the incoming and outgoing packets and either letting them pass, or denying them, based on a list of rules"
Packet internet groper (PING),برنامج فحص العناوين الالكترونية (بنغ),An Internet program (Internet Control Message Protocol [ICMP]) used to determine whether a specific IP address is accessible or online It is a network application that uses User Datagram Protocol (UDP) to verify reachability of another host on the connected network.
Packet switching,التراسل الحزمي,The process of transmitting messages in convenient pieces that can be reassembled at the destination
Paper test,فحص (نظري) على الورق,"A walk-through of the steps of a regular test, but without actually performing the steps"
Parallel simulation,محاكاة بالتوازي,Involves an IS auditor writing a program to replicate those application processes that are critical to an audit opinion and using this program to reprocess application system data
Parallel testing,فحص بالتوازي,"The process of feeding test data into two systems, the modified system and an alternative system (possibly the original system), and comparing results to demonstrate the consistency and inconsistency between two versions of the application"
Parity check,فحص التكافؤ (لتأكيد تراسل البيانات),A general hardware control that helps to detect data errors when data are read from memory or communicated from one computer to another
Partitioned file,ملف من اجزاء,A file format in which the file is divided into multiple sub files and a directory is established to locate each sub file
Passive assault,هجوم استكشافي,Intruders attempt to learn some characteristic of the data being transmitted
Passive response,استجابة سلبي,"A response option in intrusion detection in which the system simply reports and records the problem detected, relying on the user to take subsequent action"
Password,كلمة السر / المرور,"A protected, generally computer-encrypted string of characters that authenticate a computer user to the computer system"
Password cracker,مخترق كلمات السر,"A tool that tests the strength of user passwords by searching for passwords that are easy to guess It repeatedly tries words from specially crafted dictionaries and often also generates thousands (and in some cases, even millions) of permutations of characters, numbers and symbols."
Patch,حزمة,Fixes to software programming errors and vulnerabilities
Patch management,إدارة حزم البرامج (يتعلق بالتشغيل),"An area of systems management that involves acquiring, testing and installing multiple patches (code changes) to an administered computer system in order to maintain up-to-date software and often to address security risk"
Payback period,فترة الاسترداد (رأس المال),The length of time needed to recoup the cost of capital investment
Payload,حمولة,The section of fundamental data in a transmission. In malicious software this refers to the section containing the harmful data/code.
Payment system,نظام المدفوعات,"A financial system that establishes the means for transferring money between suppliers and users of funds, ordinarily by exchanging debits or credits between banks or financial institutions"
Payroll system,نظام الرواتب,"An electronic system for processing payroll information and the related electronic (e.g., electronic timekeeping and/or human resources [HR] system), human (e.g., payroll clerk), and external party (e.g., bank) interfaces In a more limited sense, it is the electronic system that performs the processing for generating payroll checks and/or bank direct deposits to employees."
Penetration testing,فحص الاختراق,A live test of the effectiveness of security defenses through mimicking the actions of real-life attackers
Performance,كفاءة,"In IT, the actual implementation or achievement of a process"
Performance driver,موجهات الكفاءة,"A measure that is considered the ""driver"" of a lag indicator It can be measured before the outcome is clear and, therefore, is called a ""lead indicator."""
Performance indicators,مؤشرات الكفاءة,A set of metrics designed to measure the extent to which performance objectives are being achieved on an on-going basis
Performance management,إدارة الكفاءة,"In IT, the ability to manage any type of measurement, including employee, team, process, operational or financial measurements The term connotes closed-loop control and regular monitoring of the measurement."
Performance testing,فحص الكفاءة,"Comparing the system's performance to other equivalent systems, using well-defined benchmarks"
Peripherals,أجهزة طرفية/اضافية,"Auxiliary computer hardware equipment used for input, output and data storage"
Personal digital assistant (PDA),مساعد رقمي شخصي (PDA),"Also called palmtop and pocket computer, PDA is a handheld device that provide computing, Internet, networking and telephone characteristics."
Personal identification number (PIN),رقم التعريف الشخصي,"A type of password (i.e., a secret number assigned to an individual) that, in conjunction with some means of identifying the individual, serves to verify the authenticity of the individual"
Pervasive IS control,ضوابط منتشرة,"General control designed to manage and monitor the IS environment and which, therefore, affects all IS-related activities"
Phase of BCP,دورة حياة استمرارية الاعماال,A step-by-step approach consisting of various phases
Phishing,التصيد (اسلوب خداع),"This is a type of electronic mail (e-mail) attack that attempts to convince a user that the originator is genuine, but with the intention of obtaining information for use in social engineering"
Phreakers,مخترقي أجهزة الاتصالات,"Those who crack security, most frequently telephone and other communication networks"
Piggybacking,تتبع,1. Following an authorized person into a restricted access area 2. Electronically attaching to an authorized telecommunications link to intercept and possibly alter transmissions
Plain old telephone service (POTS),خدمة الهاتف التقليدي البسيط,A wired telecommunications system
Plaintext,نص غير مشفر,Digital information such as cleartext that is intelligible to the reader
Platform as a Service (PaaS),خدمة البنية التحتية,Offers the capability to deploy onto the cloud infrastructure customer-created or -acquired applications that are created using programming languages and tools supported by the provider
PMBOK (Project Management Body of Knowledge),المحتوى المعرفي لإدارة المشاريع,A project management standard developed by the Project Management Institute (PMI)
Point-of-presence (POP),نقطة توفير الخدمة,A telephone number that represents the area in which the communication provider or Internet service provider (ISP) provides service
Point-of-sale (POS) systems,نقاط البيع,Enables the capture of data at the time and place of transaction
Point-to-point Protocol (PPP),برتوكول التراسل بين نقطتين شبكيتين,A protocol used for transmitting data between two ends of a connection
Point-to-point Tunneling Protocol (PPTP),برتوكول التراسل النفقي الآمن بين نقطتين,A protocol used to transmit data securely between two end points to create a virtual private network (VPN).
Policy,سياسة,"1. Generally, a document that records a high-level principle or course of action that has been decided on The intended purpose is to influence and guide both present and future decision making to be in line with the philosophy, objectives and strategic plans established by the enterprise's management teams. 2. Overall intention and direction as formally expressed by management"
Polymorphism (Objects),تعدد الأطوار,Polymorphism refers to database structures that send the same command to different child objects that can produce different results depending on their family hierarchical tree structure
Population,المجتمع,The entire set of data from which a sample is selected and about which an IS auditor wishes to draw conclusions
Port (Port number),المنفذ (رقم المنفذ),A process or application-specific software element serving as a communication endpoint for the Transport Layer IP protocols (UDP and TCP)
Port scanning,مسح المنافذ,The act of probing a system to identify open ports
Portfolio,محفظة,"A grouping of ""objects of interest"" (investment programs, IT services, IT projects, other IT assets or resources) managed and monitored to optimize business value (The investment portfolio is of primary interest to Val IT. IT service, project, asset and other resource portfolios are of primary interest to COBIT.)"
Posting,ترحيل المعاملات,The process of actually entering transactions into computerized or manual files
Preventive application control,ضابط تطبيقي وقائي,"Application control that is intended to prevent an error from occurring Preventive application controls are typically executed at the transaction level, before an action is performed."
Preventive control,ضابط وقائي,"An internal control that is used to avoid undesirable events, errors and other occurrences that an enterprise has determined could have a negative material effect on a process or end product"
Prime number,رقم أولي,A natural number greater than 1 that can only be divided by 1 and itself.
PRINCE2 (Projects in a Controlled Environment),برنس 2 (منهجية لإدارة المشاريع),"Developed by the Office of Government Commerce (OGC), PRINCE2 is a project management method that covers the management, control and organization of a project."
Principle,مبدأ,"An enabler of governance and of management. Comprises the values and fundamental assumptions held by the enterprise, the beliefs that guide and put boundaries around the enterprise's decision making, communication within and outside the enterprise, and stewardship--caring for assets owned by another."
Principle of least privilege/access,مبدأ الحد الأدنى من الصلاحيات,Controls used to allow the least privilege access needed to complete a task
Privacy,خصوصية,Freedom from unauthorized intrusion or disclosure of information about an individual
Private branch exchange (PBX),مقسم فرعي خاص,"A telephone exchange that is owned by a private business, as opposed to one owned by a common carrier or by a telephone company"
Private key,مفتاخ تشفير خاص,"A mathematical key (kept secret by the holder) used to create digital signatures and, depending on the algorithm, to decrypt messages or files encrypted (for confidentiality) with the corresponding public key"
Private key cryptosystems,نظام التشفير بالمفتاح الخاص,"Used in data encryption, it utilizes a secret key to encrypt the plaintext to the ciphertext. Private key cryptosystems also use the same key to decrypt the ciphertext to the corresponding plaintext."
Privilege,إمتياز,The level of trust with which a system object is imbued
Probe,سبر,Inspect a network or system to find weak spots
Problem,مشكلة,"In IT, the unknown underlying cause of one or more incidents"
Problem escalation procedure,إجراءات تصعيد المشكلات,"The process of escalating a problem up from junior to senior support staff, and ultimately to higher levels of management"
Procedure,إجراء,A document containing a detailed description of the steps necessary to perform specific operations in conformance with applicable standards. Procedures are defined as part of processes.
Process,عملية/ إجراء,"Generally, a collection of activities influenced by the enterprise's policies and procedures that takes inputs from a number of sources, (including other processes), manipulates the inputs and produces outputs"
Process goals,أهداف العملية,A statement describing the desired outcome of a process.
